image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
18, 1.08089017868042, 1.08089017868042, 423352, 5845992, 6269344, 1, 0.00018007923486333986, 99956, 6002.303261121115, 6001.222370942434, -5551.111111111111
72, 2.115171194076538, 1.0342810153961182, 428572, 5067210, 5495781, 2, 0.0007203169394533594, 99956, 2936.4451649321454, 2934.329993738069, 0.511044615186079
126, 3.152705669403076, 1.037534475326538, 438315, 4652959, 5091274, 3, 0.001260554644043379, 99956, 2501.046411832174, 2497.8937061627707, 0.14873456240663585
180, 4.194964170455933, 1.0422585010528564, 444072, 4373976, 4818049, 4, 0.0018007923486333987, 99956, 2329.5102145671844, 2325.3152503967285, 0.06908959149873306
234, 5.23637318611145, 1.0414090156555176, 455004, 4147424, 4602428, 5, 0.0023410300532234183, 99956, 2236.7817016707527, 2231.5453284846412, 0.040325681387110346
288, 6.285918474197388, 1.0495452880859375, 473268, 3880016, 4353283, 6, 0.0028812677578134377, 99956, 2181.6502326627574, 2175.36431418856, 0.025175833795064162
342, 7.328265428543091, 1.0423469543457031, 485029, 3537329, 4022358, 7, 0.0034215054624034576, 99956, 2141.824851390214, 2134.496585961671, 0.018786613331998714
396, 8.377520084381104, 1.0492546558380127, 494234, 3222514, 3716749, 8, 0.003961743166993477, 99956, 2114.6045392787814, 2106.2270191944003, 0.013244137729334526
450, 9.427551746368408, 1.0500316619873047, 499409, 2952044, 3451453, 9, 0.004501980871583496, 99956, 2094.089694133335, 2084.6621423869665, 0.01023862888991045
504, 10.49173879623413, 1.0641870498657227, 506234, 2718937, 3225171, 10, 0.005042218576173516, 99956, 2080.778260151545, 2070.286521355311, 0.0068958996948998985
558, 11.541967630386353, 1.0502288341522217, 510260, 2525552, 3035812, 11, 0.005582456280763536, 99956, 2067.5428610446206, 2056.0008934142343, 0.006900314422046527
612, 12.592918157577515, 1.050950527191162, 513781, 2360155, 2873936, 12, 0.006122693985353556, 99956, 2056.7609924163694, 2044.1680742587919, 0.0057552597342468426
666, 13.641558408737183, 1.048640251159668, 514170, 2217948, 2732118, 13, 0.006662931689943575, 99956, 2047.3807992548557, 2033.7392408461185, 0.005101749481365325
720, 14.690904140472412, 1.0493457317352295, 515229, 2093348, 2608577, 14, 0.007203169394533595, 99956, 2039.5055753681395, 2024.814671227667, 0.0043882565862959355
774, 15.736273288726807, 1.0453691482543945, 517290, 1984382, 2501672, 15, 0.007743407099123615, 99956, 2032.2156755141816, 2016.4794022254548, 0.00411655897236185
828, 16.786731481552124, 1.0504581928253174, 521784, 1887142, 2408926, 16, 0.008283644803713634, 99956, 2026.4909806401258, 2009.7042491585737, 0.0033598920273640864
882, 17.835891246795654, 1.0491597652435303, 523846, 1801080, 2324926, 17, 0.008823882508303654, 99956, 2021.3201195744969, 2003.4842283277012, 0.0030949931232302497
936, 18.882087469100952, 1.0461962223052979, 524820, 1725471, 2250291, 18, 0.009364120212893673, 99956, 2016.4294178006996, 1997.5473303315987, 0.002963286614468652
990, 19.921666622161865, 1.039579153060913, 524193, 1655845, 2180038, 19, 0.009904357917483692, 99956, 2011.4041503886986, 1991.4824837665367, 0.0030361466148866034
1044, 20.973962783813477, 1.0522961616516113, 524975, 1592050, 2117024, 20, 0.010444595622073713, 99956, 2008.116306531475, 1987.1423437476615, 0.0021793513396445308
1098, 22.026698350906372, 1.0527355670928955, 525452, 1534017, 2059469, 21, 0.010984833326663732, 99956, 2005.191858254278, 1983.1651599033717, 0.0020014589577861397
1152, 23.070269107818604, 1.0435707569122314, 525578, 1480108, 2005686, 22, 0.011525071031253751, 99956, 2001.746370608608, 1978.6761015007894, 0.00226358272792615
1206, 24.11693000793457, 1.0466609001159668, 526829, 1430725, 1957554, 23, 0.012065308735843772, 99956, 1998.8655521335886, 1974.748622125654, 0.001984902618552109
1260, 25.16616129875183, 1.0492312908172607, 526809, 1385275, 1912084, 24, 0.01260554644043379, 99956, 1996.4355704587604, 1971.2694091600085, 0.00176185106633997
1314, 26.22153115272522, 1.0553698539733887, 527210, 1343116, 1870326, 25, 0.013145784145023811, 99956, 1994.6722738978706, 1968.4507427451454, 0.0014298737665007222
1368, 27.26226806640625, 1.0407369136810303, 527620, 1304494, 1832114, 26, 0.01368602184961383, 99956, 1991.978996232239, 1964.7167281658328, 0.0018969306664514685
1422, 28.3145534992218, 1.0522854328155518, 527317, 1267742, 1795059, 27, 0.01422625955420385, 99956, 1990.3020461098554, 1961.9874926106336, 0.0013891242009972382
1476, 29.361200094223022, 1.0466465950012207, 528641, 1233960, 1762601, 28, 0.01476649725879387, 99956, 1988.3659326681275, 1959.0047325739044, 0.0015202747458702426
1530, 30.40293025970459, 1.0417301654815674, 528469, 1202278, 1730747, 29, 0.015306734963383889, 99956, 1986.2452921823738, 1955.8423619226692, 0.0016142741253515336
1584, 31.446081161499023, 1.0431509017944336, 527536, 1172104, 1699640, 30, 0.01584697266797391, 99956, 1984.3588943047955, 1952.9128131432965, 0.001497845039255985
1638, 32.49060606956482, 1.044524908065796, 528669, 1143737, 1672406, 31, 0.016387210372563927, 99956, 1982.6807205674122, 1950.1901144978474, 0.0013941731689838255
1692, 33.54500961303711, 1.05440354347229, 528992, 1117201, 1646193, 32, 0.016927448077153948, 99956, 1981.693251111547, 1948.1482414985098, 0.0010470122805762427
1746, 34.594112396240234, 1.049102783203125, 529851, 1092589, 1622440, 33, 0.01746768578174397, 99956, 1980.4634013050336, 1945.8692889087934, 0.001169804505207206
1800, 35.64058542251587, 1.0464730262756348, 530380, 1068082, 1598462, 34, 0.018007923486333986, 99956, 1979.1613091627758, 1943.5207237402599, 0.0012069490905273206
