image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
2, 1.4169986248016357, 1.4169986248016357, 802774, 5513894, 6316668, 1, 4.001760774740886e-05, 49978, 35409.378635168076, 35407.961636543274, -24987.0
24, 2.4899985790252686, 1.0729999542236328, 410161, 5018406, 5428567, 2, 0.0004802112929689063, 49978, 5185.214540938537, 5182.724542359511, 0.853628271642426
48, 3.540998697280884, 1.0510001182556152, 364784, 4613617, 4978401, 3, 0.0009604225859378126, 49978, 3686.9173519313335, 3683.3763532340527, 0.2892972946702004
68, 4.74237060546875, 1.2013719081878662, 388891, 4121497, 4510387, 4, 0.0013605986634119013, 49978, 3485.5029135311347, 3480.760542925666, 0.0550081748042085
90, 5.747370719909668, 1.005000114440918, 391961, 3676359, 4068320, 5, 0.0018007923486333987, 49978, 3191.5788204405044, 3185.8314497205947, 0.08473122168788316
114, 6.808371067047119, 1.0610003471374512, 415650, 3314540, 3730190, 6, 0.002281003641602305, 49978, 2984.813764814745, 2978.005393747698, 0.06523447936679883
138, 7.880370616912842, 1.0719995498657227, 415778, 3046845, 3462623, 7, 0.0027612149345712113, 49978, 2853.9504542903624, 2846.0700836734495, 0.04430324751971426
162, 8.958370447158813, 1.0779998302459717, 424568, 2852018, 3276586, 8, 0.0032414262275401178, 49978, 2763.712581531501, 2754.7542110843424, 0.032084899494549624
186, 10.025370597839355, 1.067000150680542, 421639, 2702666, 3124305, 9, 0.0037216375205090238, 49978, 2693.80629967105, 2683.7809290732107, 0.02576392540777528
210, 11.101370573043823, 1.0759999752044678, 431109, 2582178, 3013287, 10, 0.00420184881347793, 49978, 2642.020469045639, 2630.919098472595, 0.019696775555697266
234, 12.169370412826538, 1.0679998397827148, 429594, 2482627, 2912221, 11, 0.004682060106446837, 49978, 2599.148694411302, 2586.9793239984756, 0.016701302027732123
258, 13.240370273590088, 1.0709998607635498, 436998, 2402026, 2839025, 12, 0.005162271399415743, 49978, 2564.8342074941293, 2551.593837220539, 0.01367830289545724
282, 14.3133704662323, 1.073000192642212, 445583, 2334324, 2779907, 13, 0.0056424826923846495, 49978, 2536.7149970260916, 2522.4016265598593, 0.011440774873668347
306, 15.392370700836182, 1.0790002346038818, 446259, 2276588, 2722847, 14, 0.006122693985353556, 49978, 2513.986610739839, 2498.5942400390027, 0.009438380577531547
330, 16.478370428085327, 1.0859997272491455, 455021, 2226278, 2681298, 15, 0.0066029052783224615, 49978, 2495.6242341056018, 2479.1458636775164, 0.007783727365505588
354, 17.559370756149292, 1.0810003280639648, 456784, 2184419, 2641203, 16, 0.007083116571291368, 49978, 2479.0458521209866, 2461.4864813648373, 0.007123171964752206
378, 18.63637065887451, 1.0769999027252197, 455802, 2145746, 2601548, 17, 0.007563327864260274, 49978, 2464.0437375376464, 2445.407366878772, 0.006532278201727082
402, 19.718371152877808, 1.082000494003296, 461461, 2110645, 2572106, 18, 0.008043539157229182, 49978, 2451.454610643102, 2431.7362394902243, 0.005590531693701828
426, 20.791370630264282, 1.0729994773864746, 461222, 2079438, 2540660, 19, 0.008523750450198087, 49978, 2439.2279844116156, 2418.4366137813513, 0.0054691892537083175
450, 21.86737060546875, 1.0759999752044678, 465670, 2052362, 2518031, 20, 0.009003961743166993, 49978, 2428.6387736002607, 2406.771402994792, 0.0048234511171745265
474, 22.9453706741333, 1.0780000686645508, 468657, 2027109, 2495766, 21, 0.0094841730361359, 49978, 2419.3327754258103, 2396.387404751677, 0.004314492946938753
498, 24.018370628356934, 1.0729999542236328, 469878, 2004176, 2474054, 22, 0.009964384329104806, 49978, 2410.4219422972346, 2386.4035716688777, 0.004166201617903154
522, 25.095370769500732, 1.0770001411437988, 470806, 1983546, 2454353, 23, 0.010444595622073713, 49978, 2402.71348719944, 2377.618116429939, 0.0036814624916080563
546, 26.17637038230896, 1.0809996128082275, 473366, 1964190, 2437557, 24, 0.010924806915042619, 49978, 2396.048789316918, 2369.872418934609, 0.003257755079255742
570, 27.26137137413025, 1.085000991821289, 470623, 1946889, 2417512, 25, 0.011405018208011526, 49978, 2390.296172870669, 2363.034801496539, 0.0028852259655158807
594, 28.33837080001831, 1.0769994258880615, 468653, 1931257, 2399909, 26, 0.011885229500980431, 49978, 2384.3351781873994, 2355.996807387381, 0.0029783709087570776
618, 29.419370651245117, 1.0809998512268066, 470571, 1916149, 2386720, 27, 0.012365440793949337, 49978, 2379.160689980467, 2349.741319329222, 0.0026551343527057014
642, 30.503371715545654, 1.084001064300537, 469866, 1901725, 2371591, 28, 0.012845652086918244, 49978, 2374.606715887135, 2344.1033441715895, 0.0023994024836920813
666, 31.58337140083313, 1.0799996852874756, 468186, 1887502, 2355688, 29, 0.01332586337988715, 49978, 2370.080684490748, 2338.4973130899148, 0.002391546044935966
690, 32.663370847702026, 1.0799994468688965, 468725, 1874127, 2342852, 30, 0.013806074672856057, 49978, 2365.8694901832637, 2333.2061193355617, 0.0022626469249014125
714, 33.739370584487915, 1.0759997367858887, 466900, 1861906, 2328806, 31, 0.014286285965824963, 49978, 2361.6614328733012, 2327.9220622888133, 0.0022647193503216867
738, 34.81537055969238, 1.0759999752044678, 466859, 1849618, 2316477, 32, 0.01476649725879387, 49978, 2357.7270864936395, 2322.911715933947, 0.0021522826885106427
762, 35.89237070083618, 1.0770001411437988, 468470, 1837743, 2306212, 33, 0.015246708551762776, 49978, 2354.1061717669168, 2318.2138010660806, 0.0020224250606001304
786, 36.96937084197998, 1.0770001411437988, 469271, 1826362, 2295633, 34, 0.015726919844731683, 49978, 2350.7063816036584, 2313.7370107616784, 0.001931137802019589
810, 38.04837083816528, 1.0789999961853027, 473483, 1815320, 2288803, 35, 0.016207131137700587, 49978, 2347.6314540121293, 2309.583083173964, 0.001795332645150971
834, 39.127370834350586, 1.0789999961853027, 473428, 1804630, 2278058, 36, 0.016687342430669494, 49978, 2344.733500670472, 2305.6061298361215, 0.0017219356024972265
858, 40.20537042617798, 1.0779995918273926, 475418, 1794290, 2269708, 37, 0.0171675537236384, 49978, 2341.9393976218216, 2301.7340271956436, 0.001679429365827101
882, 41.287370681762695, 1.0820002555847168, 475201, 1784190, 2259391, 38, 0.01764776501660731, 49978, 2339.5240498108114, 2298.2366791290488, 0.001519440571878694
906, 42.36637091636658, 1.0790002346038818, 474924, 1774283, 2249207, 39, 0.018127976309576212, 49978, 2337.0711762231444, 2294.704805306778, 0.0015367755002541061
930, 43.44637060165405, 1.0799996852874756, 475722, 1764685, 2240407, 40, 0.01860818760254512, 49978, 2334.7986128273833, 2291.3522422257292, 0.0014609997213129722
954, 44.5223708152771, 1.0760002136230469, 473482, 1755560, 2229042, 41, 0.019088398895514027, 49978, 2332.4308685596634, 2287.9084977443863, 0.00150293107182764
978, 45.602370500564575, 1.0799996852874756, 473558, 1746629, 2220187, 42, 0.01956861018848293, 49978, 2330.3837145983807, 2284.781344097816, 0.0013668176195216208
1002, 46.68537163734436, 1.0830011367797852, 475092, 1738054, 2213146, 43, 0.020048821481451838, 49978, 2328.5843350211544, 2281.89896338381, 0.0012615564817404223
1026, 47.76637077331543, 1.0809991359710693, 474449, 1728893, 2203343, 44, 0.020529032774420745, 49978, 2326.7716164802714, 2279.005245706956, 0.0012681182310381178
1050, 48.84337043762207, 1.0769996643066406, 474603, 1720275, 2194879, 45, 0.021009244067389653, 49978, 2324.851397839501, 2276.0080274018787, 0.001315143223440618
1074, 49.92537069320679, 1.0820002555847168, 474578, 1711018, 2185596, 46, 0.021489455360358557, 49978, 2323.24969879431, 2273.324328101103, 0.001179125586757701
